i                       pLength                 angle                   xLength                 yLength                 xVec                    yVec                    
24                      99.999989999999997      -3.141592653589793      1301.999740000000202    0.000000000000159       -99.999989999999997     -0.000000000000012      
25                      103.999989999999997     -3.141592653589793      1403.999730000000227    0.000000000000172       -103.999989999999997    -0.000000000000013      
26                      107.999989999999997     -3.141592653589793      1513.999720000000252    0.000000000000185       -107.999989999999997    -0.000000000000013      
27                      111.999989999999997     -3.141592653589793      1623.999710000000277    0.000000000000199       -111.999989999999997    -0.000000000000014      
28                      115.999989999999997     -3.141592653589793      1741.999700000000303    0.000000000000213       -115.999989999999997    -0.000000000000014      
29                      119.999989999999997     -3.141592653589793      1859.999690000000328    0.000000000000228       -119.999989999999997    -0.000000000000015      
0                       3.976168159640039       -3.078760800517997      5.968312100046210       0.249665664479713       -3.968322100046210      -0.249665664479713      
1                       6.898667057469723       -3.078760800517997      10.885034113882398      0.932502217557710       -6.885054113882398      -0.433170888598285      
2                       8.266193800467718       -3.078760800517997      19.808427576915939      1.413463614296350       -8.249882355234858      -0.519038603261359      
3                       9.555773258502819       -3.078760800517997      31.255055157385151      1.598232420191028       -9.536917122785933      -0.600011967405714      
4                       13.019586838982081      -3.078760800517997      45.811536533510591      3.242478003214079       -12.993895658397067     -0.817506621676698      
5                       14.678931811179975      -3.078760800517997      58.578717405728355      4.633952196125600       -14.649966292333634     -0.921697754559359      
6                       17.276190944282966      -3.078760800517997      74.718206316194625      4.724011683680598       -17.242100327824861     -1.084781004879150      
7                       19.278457001168533      -3.078760800517997      94.519392688149750      6.934516014507503       -19.240415370021339     -1.210504330826905      
8                       23.141826899249402      -3.078760800517997      119.458651958642960     7.849842585042221       -23.096161790111253     -1.453087333861314      
9                       25.442784239484492      -3.078760800517997      142.960636791053474     9.902207668735359       -25.392578716639097     -1.597565640669463      
10                      27.930641975961155      -3.078760800517997      170.728254426604451     10.655987189193214      -27.875527234169866     -1.753779520457855      
11                      31.011788457462405      -3.078760800517997      203.498425400977681     13.176202273210151      -30.950593776910839     -1.947246308777235      
12                      32.303073567493612      -3.078760800517997      234.907949940032040     14.204529044906712      -32.239330830743427     -2.028326771696561      
13                      33.571926839564632      -3.078760800517997      266.473487442824137     15.971747050459154      -33.505680310723974     -2.107998727856370      
14                      37.059017210352771      -3.078760800517997      301.941805501906288     19.154341866671835      -36.985889705215385     -2.326954943883824      
15                      38.827922837637999      -3.078760800517997      342.626908609984866     21.950167149388854      -38.751304801313225     -2.438025447219390      
16                      41.433469813031365      -3.078760800517997      384.778659452308489     23.551796244851225      -41.351710324931240     -2.601629095462371      
17                      43.125365175225376      -3.078760800517997      426.948974560582315     27.259660329094995      -43.040267118104694     -2.707864084243769      
18                      45.769520897862378      -3.078760800517997      470.673828724569091     29.834865041040743      -45.679205203422995     -2.873891995784554      
19                      46.940806252435401      -3.078760800517997      518.117111814820760     31.782302652756012      -46.848179293903456     -2.947437611715270      
20                      47.972124915636790      -3.078760800517997      567.719014066892896     34.105158772807023      -47.877462885305356     -3.012194646377963      
21                      49.003443578838180      -3.078760800517997      618.574054835795096     37.499502853552613      -48.906746476707262     -3.076951681040655      
22                      52.371096592594583      -3.078760800517997      672.005335195952171     41.774450214529935      -52.267754196508172     -3.288408363368878      
23                      56.332858229974626      -3.078760800517997      726.260042544030057     45.056808566598342      -56.221698202275206     -3.537169434831275      
24                      59.301285353353286      -3.078760800517997      787.401530599510579     49.069727423788670      -59.184267812798559     -3.723558516093127      
25                      60.619674279443316      -3.078760800517997      847.185024169958297     51.876068265492684      -60.500055199500252     -3.806340841704014      
26                      61.877127233958070      -3.078760800517997      907.035963391221117     55.334018129742837      -61.755026857847078     -3.885296966001666      
27                      65.196106082718813      -3.078760800517997      970.496226152244958     60.222269346537885      -65.067456459998397     -4.093697372222156      
28                      66.578111214910464      -3.078760800517997      1038.653500882789331    65.106400138677586      -66.446734520750709     -4.180474192464647      
29                      69.794901865253223      -3.078760800517997      1110.045617528987123    68.810725148731166      -69.657177569550939     -4.382458148616707      
0                       3.902954475895182       -3.015928947446201      5.872168514096753       0.489169904918219       -3.872178514096753      -0.489169904918219      
1                       5.809174210709799       -3.015928947446201      9.763347136942119       1.706422398003062       -5.763367136942120      -0.728082588166626      
2                       8.369284683690790       -3.015928947446201      17.384426589954071      1.755371910030236       -8.303290374175722      -1.048949512027174      
3                       10.032390743373920      -3.015928947446201      28.253673735207713      4.012763882277887       -9.953282345832548      -1.257391972247650      
4                       12.492819672423256      -3.015928947446201      42.602159932761218      5.279283826034158       -12.394310057881830     -1.565765485880562      
5                       13.963081896732280      -3.015928947446201      56.050787029725072      6.029322030674817       -13.852978825406138     -1.750038204640659      
6                       15.192028757330293      -3.015928947446201      69.309300492196314      7.352133320838441       -15.072235072939701     -1.904066088558109      
7                       16.920312463885093      -3.015928947446201      84.333392998545577      10.119447358310426      -16.786890746254993     -2.120677474017123      
8                       18.823217292524681      -3.015928947446201      102.937159237932192     13.478622047666079      -18.674790601950637     -2.359174689355652      
9                       20.123310478699871      -3.015928947446201      124.693473185203459     16.611675295327284      -19.964632165033823     -2.522119572313908      
10                      23.006602177643057      -3.015928947446201      149.244838025496989     18.807658916778806      -22.825188247733355     -2.883491844251575      
11                      23.495163446511654      -3.015928947446201      171.413529308156939     20.762403458680080      -23.309897065070746     -2.944724807873155      
12                      23.983724715380252      -3.015928947446201      193.614768611841583     22.963428870747038      -23.794605882408135     -3.005957771494737      
13                      24.472285984248852      -3.015928947446201      215.990187859270179     25.602866159026529      -24.279314699745530     -3.067190735116318      
14                      24.960847253117453      -3.015928947446201      238.755539766283732     28.782816697774638      -24.764023517082926     -3.128423698737899      
